Tipo Expansão,Ano 2012,Ano 2015,Cenário
Expansão Centralizada,608,766,49. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão por GD,100,65,49. Capacidade Instalada Total de Eólica e de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão Centralizada,602,759,7. Sobrecusto de 100% no CAPEX de PCH
Expansão por GD,100,65,7. Sobrecusto de 100% no CAPEX de PCH
Expansão Centralizada,568,715,53. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50% maior na entressafra
Expansão por GD,100,65,53. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo 50% maior na entressafra
Expansão Centralizada,577,727,64. GN Pré-Sal ao preço de US$ 6/MMBtu
Expansão por GD,100,65,64. GN Pré-Sal ao preço de US$ 6/MMBtu
Expansão Centralizada,596,751,60. Expansão de 10.000 MW de Usinas Nucleares
Expansão por GD,100,65,60. Expansão de 10.000 MW de Usinas Nucleares
Expansão Centralizada,592,746,16. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão por GD,100,65,16. Capacidade Instalada Total de PV Solar limitada a 50 GW (cada uma) no horizonte
Expansão Centralizada,590,743,59. Expansão de 8.000 MW de Usinas Nucleares
Expansão por GD,100,65,59. Expansão de 8.000 MW de Usinas Nucleares
Expansão Centralizada,606,763,13. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Expansão por GD,100,65,13. Capacidade Instalada Total de Eólica limitada a 50 GW no horizonte
Expansão Centralizada,588,741,21. Redução de 50% no CAPEX de Usina Nuclear
Expansão por GD,100,65,21. Redução de 50% no CAPEX de Usina Nuclear
Expansão Centralizada,571,719,44. Integração Elétrica com países da América do Sul
Expansão por GD,100,65,44. Integração Elétrica com países da América do Sul
Expansão Centralizada,557,702,17. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão por GD,100,65,17. Aumento do fator de capacidade das usinas a bagaço usando insumo com custo na entressafra
Expansão Centralizada,648,817,12. Frota de veículos leves integralmente elétrica em 2050
Expansão por GD,100,65,12. Frota de veículos leves integralmente elétrica em 2050
Expansão Centralizada,609,767,37. Matriz Elétrica com expansão 100% renovável
Expansão por GD,100,65,37. Matriz Elétrica com expansão 100% renovável
